"2022,8422.90.90.000P,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  MAQUINAS PARA LAVAR VAJILLA; MAQUINAS Y APARATOS PARA LIMPIAR O SECAR BOTELLAS O DEMAS RECIPIENTES; MAQUINAS Y APARATOS PARA LLENAR, CERRAR, TAPAR, TAPONAR O ETIQUETAR BOTELLAS, BOTES O LATAS, CAJAS, SACOS (BOLSAS) O DEMAS CONTINENTES; MAQUINAS Y APARATOS PARA CAPSULAR BOTELLAS, TARROS, TUBOS Y CONTINENTES ANALOGOS; LAS DEMAS MAQUINAS Y APARATOS PARA EMPAQUETAR O ENVOLVER MERCANCIAS (INCLUIDAS LAS DE ENVOLVER CON PELICULA TERMORRETRACTIL);" MAQUINAS Y APARATOS PARA GASEAR BEBIDAS.    -Partes.       Las demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;
"2022,3822.00.90.900U,""CAPITULO 38PRODUCTOS DIVERSOS DE LA INDUSTRIA QUIMICA      REACTIVOS PARA DIAGNÃ‚Â¿STICO O LABORATORIO SOBRE CUALQUIER SOPORTE Y REACTIVOS PARA DIAGNÃ‚Â¿STICO O LABORATORIO PREPARADOS, INCLUSO SOBRE SOPORTE, EXCEPTO LOS DE LAS PARTIDAS 30.02 Ã‚Â¿ 30.06";" MATERIALES DE REFERENCIA CERTIFICADOS.  --- Los demas  Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,7013.28.00.000L,""CAPITULO 70VIDRIO Y MANUFACTURAS DE VIDRIO  ARTICULOS DE VIDRIO PARA SERVICIO DE MESA, COCINA, TOCADOR, OFICINA, PARA ADORNO DE    INTERIORES O USOS SIMILARES, EXCEPTO LOS DE LASPARTIDAS 70.10 O 70.18. - Recipientes con pie para beber, excepto los de vitrocerÃ‚Â¿mica:  - Recipientes con pie para beber, excepto los de vitrocerÃ‚Â¿mica:     - - Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,8414.51.20.000T,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS"; PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  BOMBAS DE AIRE O DE VACIO, COMPRESORES DE AIRE U OTROS GASES Y VENTILADORES;" CAMPANAS ASPIRANTES PARA EXTRACCION O RECICLADO, CON VENTILADOR INCORPORADO, INCLUSO CON FILTRO. -Ventiladores.  -Ventiladores. --Ventiladores de mesa, pie, pared, cielo raso, techo o ventana, con motor elÃ‚Â¿ctrico incorporado de potencia inferior o igual a 125 W.       De techo.""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,8473.30.99.000V,""CALDERAS, MAQUINAS, APARATOS Y ARTEFACTOS MECANICOS";" PARTES DE ESTAS MAQUINAS O APARATOS, REACTORES NUCLEARES  PARTES Y ACCESORIOS (EXCEPTO LOS ESTUCHES, FUNDASY SIMILARES) IDENTIFICABLES COMO DESTINADOS,EXCLUSIVA O PRINCIPALMENTE, A LAS MAQUINAS OAPARATOS DE LAS PARTIDAS 84.69 A 84.72.    -Partes y accesorios de mÃ‚Â¿quinas de la partida  84.71    Los demÃ‚Â¿s       Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;;
"2022,1517.10.00.000F,""CAPITULO 15 GRASAS Y ACEITES ANIMALES O VEGETALES"; PRODUCTOS DE SU DESDOBLAMIENTO; GRASAS ALIMENTICIASELABORADAS; CERAS DE ORIGEN ANIMAL O VEGETAL  MARGARINA;" MEZCLAS O PREPARACIONES ALIMENTICIASDE GRASAS O DE ACEITES, ANIMALES O VEGETALES, ODE FRACCIONES DE DIFERENTES GRASAS O ACEITES, DE ESTE CAPITULO, EXCEPTO LAS GRASAS Y ACEITES ALIMENTICIOS Y SUS FRACCIONES, DE LA PARTIDA 15.16        -Margarina, excepto la margarina lÃ‚Â¿quida.""";;;;;;;;;;;;;;;;;;;;;;
"2022,8517.62.99.000T,""CAPITULO 85  MAQUINAS, APARATOS Y MATERIAL ELECTRICO Y SUS PARTES"; APARATOS DE GRABACION O DE REPRODUCCION  DEL SONIDO, APARATOS DE GRABACION O DE REPRODUCCION DE IMAGENES Y DE SONIDOS DE TELEVISION, Y LAS PARTES Y ACCESORIOS DE ESTOSAPARATOS.  TELÃ‚Â¿FONOS, INCLUIDOS LOS TELÃ‚Â¿FONOS CELULARES (MÃ‚Â¿VILES)* Y LOS DE OTRAS REDES INALÃ‚Â¿MBRICAS;" LOS DEMÃ‚Â¿S APARATOS DE TRANSMISIÃ‚Â¿N O RECEPCIÃ‚Â¿N DE VOZ, IMAGEN U OTROS DATOS, INCLUIDOS LOS DE COMUNICACIÃ‚Â¿N EN RED CON O SIN 84.43, 85.25, 85.27 U 85.28 - Los demÃ‚Â¿s aparatos de transmisiÃ‚Â¿n o recepciÃ‚Â¿n de voz, imagen u otros datos, incluidos los de comunicaciÃ‚Â¿n en red con o sin cable (tales como redes locales (LAN) o extendidas (WAN))  - Los demÃ‚Â¿s aparatos de transmisiÃ‚Â¿n o recepciÃ‚Â¿n de voz, imagen u otros datos, incluidos los de comunicaciÃ‚Â¿n en red con o sin cable (tales como redes locales (LAN) o extendidas (WAN)) - - Aparatos para la recepciÃ‚Â¿n, conversiÃ‚Â¿n y transmisiÃ‚Â¿n o regeneraciÃ‚Â¿n de voz, imagen u otros datos, incluidos los de conmutaciÃ‚Â¿n o encaminamiento (Ã‚Â¿switching and routing apparatusÃ‚Â¿)   Los demÃ‚Â¿s        Los demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;
"2022,4421.99.00.900E,""CAPITULO 44 MADERA, CARBON VEGETAL Y MANUFACTURAS DE MADERA  LAS DEMAS MANUFACTURAS DE MADERA.      -- Las demÃ‚Â¿s  Las demÃ‚Â¿s""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,7306.30.00.000J,""CAPITULO 73 MANUFACTURAS DE FUNDICION, DE HIERRO O DE  ACERO.  LOS DEMAS TUBOS Y PERFILES HUECOS (POR EJEMPLO: SOLDADOS, REMACHADOS, GRAPADOS O CON LOS BORDES SIMPLEMENTE APROXIMADOS), DE HIERRO O DE ACERO.        -Los demas, soldados, de seccisn circular, de hierro o de acero sin alear.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,3901.20.29.000V,""CAPITULO 39 MATERIAS PLASTICAS Y MANUFACTURAS DE ESTAS  MATERIAS  POLIMEROS DE ETILENO EN FORMAS PRIMARIAS.    -Polietileno de densidad superior o igual a 0,94.    Sin carga.       Los demÃ‚Â¿s.""";;;;;;;;;;;;;;;;;;;;;;;;;;
"2022,4008.21.00.000Y,""CAPITULO 40CAUCHO Y MANUFACTURAS DE CAUCHO.  PLACAS, HOJAS, TIRAS, VARILLAS, Y PERFILES,DE CAUCHO VULCANIZADO SIN ENDURECER. -De caucho no celular:  -De caucho no celular:     --Placas, hojas y tiras.""";;;;;;;;;;;;;;;;;;;;;;;;;;
