AÑO,POSICION,DESCPOSICION
2022,8704.31.90.000G,"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  VEHICULOS AUTOMOVILES PARA EL TRANSPORTE DE MERCANCIAS. - Los dem¿s, ¿nicamente con motor de ¿mbolo (pist¿n), de encendido por chispa:  - Los dem¿s, ¿nicamente con motor de ¿mbolo (pist¿n), de encendido por chispa: --De peso total con carga m¿xima inferior o igual  a 5 t.  --- Los dem¿s  Los dem?s"
2022,8703.32.10.000X,"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  AUTOMOVILES PARA TURISMO Y DEMAS VEHICULOS AUTOMOVILES CONCEBIDOS PRINCIPALMENTE PARA EL TRANSPORTE DE PERSONAS (EXCEPTO LOS DE LA PARTIDA 87.02), INCLUIDOS LOS DEL TIPO FAMILIAR (""BREAK"" O ""STATION WAGON"") Y LOS DE CARRERAS. - Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n), de encendido por compresi¿n (Di¿sel o semi-Di¿sel)  - Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n), de encendido por compresi¿n (Di¿sel o semi-Di¿sel) --De cilindrada superior a 1.500 cm3. pero      inferior o igual a 2.500 cm3  --- Con capacidad de transporte de personas sentadas inferior o igual a 6, incluido el conductor  Con capacidad para el transporte de personas sentadas inferior o igual a 6, incluido el conductor"
2022,8703.23.90.900X,"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  AUTOMOVILES PARA TURISMO Y DEMAS VEHICULOS AUTOMOVILES CONCEBIDOS PRINCIPALMENTE PARA EL TRANSPORTE DE PERSONAS (EXCEPTO LOS DE LA PARTIDA 87.02), INCLUIDOS LOS DEL TIPO FAMILIAR (""BREAK"" O ""STATION WAGON"") Y LOS DE CARRERAS. -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n) alternativo, de encendido por chispa:  -Los dem¿s veh¿culos con motor de ¿mbolo (pist¿n) alternativo, de encendido por chispa: --De cilindrada superior a 1.500 cm3. pero  inferior o igual a 3.000 cm3.     Los dem¿s        Los dem¿s"
2022,3901.20.29.000V,"CAPITULO 39 MATERIAS PLASTICAS Y MANUFACTURAS DE ESTAS  MATERIAS  POLIMEROS DE ETILENO EN FORMAS PRIMARIAS.    -Polietileno de densidad superior o igual a 0,94.    Sin carga.       Los dem¿s."
2022,7408.11.00.000L,CAPITULO 74  COBRE Y MANUFACTURAS DE COBRE.  ALAMBRE DE COBRE. -De cobre refinado:  -De cobre refinado:     --Con la mayor dimensi¿n de la secci¿n transversal superior a 6 mm.
2022,8704.22.10.000B,"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  VEHICULOS AUTOMOVILES PARA EL TRANSPORTE DE MERCANCIAS. - Los dem¿s con motor de ¿mbolo (pist¿n), de encendido por compresi¿n (Di¿sel o semi Di¿sel):  - Los dem¿s con motor de ¿mbolo (pist¿n), de encendido por compresi¿n (Di¿sel o semi Di¿sel): --De peso total con carga m¿xima superior a 5 t  pero inferior o igual a 20 t.  --- Chasis con motor y cabina.  Chasis con motor y cabina"
2022,8302.49.00.000Q,"CAPITULO 83 MANUFACTURAS DIVERSAS DE METALES COMUNES.  GUARNICIONES, HERRAJES Y ARTICULOS SIMILARES DE METAL COMUN, PARA MUEBLES, PUERTAS, ESCALERASVENTANAS, PERSIANAS, CARROCERIAS, ARTICULOS DEGUARNICIONERIA, BAULES, ARCAS, COFRES Y DEMASMANUFACTURAS DE ESTA CLASE; COLGADORES, PERCHAS,SOPORTES Y ARTICULOS SIMILARES, DE METAL COMUN; RUEDAS CON MONTURAS DE METAL COMUN; CIERRAPUERTAS AUTOMATICOS DE METAL COMUN. -Las dem¿s guarniciones, herrajes y art¿culos similares  -Las dem¿s guarniciones, herrajes y art¿culos similares     --Los dem¿s."
2022,8471.50.10.000P,"BIENES DE CAPITAL  MAQUINAS AUTOMATICAS PARA TRATAMIENTO O PROCESAMIENTO DE DATOS Y SUS UNIDADES; LECTORES MAGNETICOS U OPTICOS, MAQUINAS PARA REGISTRO DE DATOS SOBRE SOPORTE EN FORMA CODIFICADA Y MAQUINAS PARA TRATAMIENTO O PROCESAMIENTO DE ESTOS DATOS, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE.    -Unidades de proceso digitales, excepto las de las subpartidas nros. 8471.41 y 8471.49, aunque incluyan en la misma envoltura uno o dos de los tipos siguientes de unidades: unidad de memoria, unidad de entrada y unidad de salida     De peque¿a capacidad, basadas enmicroprocesadores, con capacidad de instalaci¿ndentro del mismo gabinete de unidades de memoria de la subpartida nro. 8471.70, pudiendo contener multiples conectores de expansi¿n (""slots""), y valor FOB inferior o igual a u$s 12500 por unidad     De peque¿a capacidad, basadas en microprocesadores, con capacidad de instalaci¿n dentro del mismo gabinete de unidades de memoria de la subpartida 8471.70, pudiendo contener multiples conectores de expansi¿n (""slots""), y valor FOB inferior o igual a u$s 12500 por unidad"
2022,8471.60.53.000Q,"BIENES DE CAPITAL  MAQUINAS AUTOMATICAS PARA TRATAMIENTO O PROCESAMIENTO DE DATOS Y SUS UNIDADES; LECTORES MAGNETICOS U OPTICOS, MAQUINAS PARA REGISTRO DE DATOS SOBRE SOPORTE EN FORMA CODIFICADA Y MAQUINAS PARA TRATAMIENTO O PROCESAMIENTO DE ESTOS DATOS, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE.    -Unidades de entrada o salida, aunque incluyan unidades de memoria en la misma envoltura    Unidades de entrada     Indicadores o apuntadores (por ejemplo:""mouse y trackball"")      Indicadores o apuntadores (por ejemplo:""mouse y trackball"")"
2022,1207.99.90.000Z,"CAPITULO 12 SEMILLAS Y FRUTOS OLEAGINOSOS; SEMILLAS Y FRUTOS  DIVERSOS; PLANTAS INDUSTRIALES O MEDICINALES; PAJA Y FORRAJES  LAS DEMAS SEMILLAS Y FRUTOS OLEAGINOSOS, INCLUSOQUEBRANTADOS. -Los dem¿s:  -Los dem¿s: --Los dem¿s.        Los dem¿s        Los dem¿s"
2022,8414.30.11.000A,"BIENES DE CAPITAL  BOMBAS DE AIRE O DE VACIO, COMPRESORES DE AIRE U OTROS GASES Y VENTILADORES; CAMPANAS ASPIRANTES PARA EXTRACCION O RECICLADO, CON VENTILADOR INCORPORADO, INCLUSO CON FILTRO.    -Compresores de los tipos utilizados en los  equipos frigor¿ficos.    Motocompresores herm¿ticos.       Con capacidad inferior a 4.700 frigor¿as/hora."
2022,9617.00.10.000C,"CAPITULO 96 MANUFACTURAS DIVERSAS      TERMOS Y DEMAS RECIPIENTES ISOTERMICOS, MONTADOSY AISLADOS POR VACIO, ASI COMO SUS PARTES(EXCEPTO LAS AMPOLLAS DE VIDRIO)       Termos y dem¿s recipientes isot¿rmicos."
2022,8484.20.00.000N,"BIENES DE CAPITAL  JUNTAS METALOPLASTICAS; SURTIDOS DE JUNTAS DE DISTINTA COMPOSICION PRESENTADOS EN BOLSITAS, SOBRES O ENVASES ANALOGOS; JUNTAS MECANICAS DE ESTANQUEIDAD.        -Juntas mec¿nicas de estanqueidad"
2022,0701.90.00.000R,"CAPITULO 7 LEGUMBRES Y HORTALIZAS, PLANTAS, RAICES YTUBERCULOS ALIMENTICIOS.  PAPAS (PATATAS) FRESCAS O REFRIGERADAS.        -Las dem¿s."
2022,8702.10.00.000R,"CAPITULO 87 VEHICULOS AUTOMOVILES, TRACTORES, CICLOS Y DEMAS  VEHICULOS TERRESTRES, SUS PARTES Y ACCESORIOS  VEHICULOS AUTOMOVILES PARA EL TRANSPORTE DE DIEZO MAS PERSONAS, INCLUIDO EL CONDUCTOR.      - Con motor de ¿mbolo (pist¿n) de encendido por compresi¿n (Di¿sel o semi-Di¿sel)  ¿nicamente con motor de ¿mbolo (pist¿n), de encendido por compresi¿n (di¿sel o semi-di¿sel)"
